ID_Registro;Fecha;Año;Mes_Num;Mes;Trimestre;Región;Ciudad;Tipo_Institución;Institución;Canal;Línea_Terapéutica;Producto;Fabricante;Unidad_Medida;Requiere_Receta;Unidades;Precio_Unitario_USD;Costo_Unitario_USD;Descuento_Pct;Lead_Time_Días;Inventario_Días;Devolución_Pct;Pacientes_Impactados;Urgencia_Abasto;Ventas_Brutas_USD;Monto_Descuento_USD;Ventas_Netas_USD;Costo_Total_USD;Utilidad_Bruta_USD;Margen_Bruto_Pct;Devoluciones_Unidades;Riesgo_Stockout
RX-00038;2025-12-03 00:00:00;2025;12;Dec;T4;Sur;Cali;Cadena de Farmacias;Cruz Verde;Retail;Cardiometabólico;Atorvastatina 20mg;Procaps;caja;Sí;25;18,45;9,68;0,0367;4;20;0,0062;23;Baja;461,25;16,927875;444,322125;242;202,322125;0,455350102;0;0,2062
RX-00039;2025-09-27 00:00:00;2025;9;Sep;T3;Oriente;Bucaramanga;Clínica;Hospital Universitario de Santander;Institucional;Dolor y cuidado primario;Ibuprofeno 400mg;Vitalis;caja;No;27;6,11;2,77;0,0761;5;27;0,0026;39;Baja;164,97;12,554217;152,415783;74,79;77,625783;0,509302787;0;0,187592593
RX-00040;2025-01-15 00:00:00;2025;1;Jan;T1;Centro;Soacha;Clínica;Clínica del Country;Institucional;Respiratorio;Budesonida Nebulizable;Genfar;caja;Sí;23;17,05;9,04;0,074;3;17;0,0143;21;Media;392,15;29,0191;363,1309;207,92;155,2109;0,427424105;0;0,189088235
RX-00041;2025-02-01 00:00:00;2025;2;Feb;T1;Sur;Pasto;Distribuidor;Drogas La Rebaja;Mayorista;Dolor y cuidado primario;Omeprazol 20mg;Procaps; caja  ;No;45;7,29;4,05;0,1228;10;23;0,0098;73;Baja;328,05;40,28454;287,76546;182,25;105,51546;0,366671733;0;0,456086957
RX-00042;2025-03-08 00:00:00;2025;3;Mar;T1;Occidente;Pereira;Clínica;Clínica Comfamiliar Risaralda;Institucional;Dolor y cuidado primario;Omeprazol 20mg;Procaps;caja;No;26;6,64;3,81;0,077;4;37;0,012;45;Baja;172,64;13,29328;159,34672;99,06;60,28672;0,378336749;0;0,114594595
RX-00043;2025-01-03 00:00:00;2025;1;Jan;T1;Oriente;Bucaramanga;Hospital;Hospital Universitario de Santander;Institucional;Vacunas;Vacuna Influenza;Laboratorios MK;dosis;Sí;10;27,55;17,36;0,0816;4;37;0,0046;11;Baja;275,5;22,4808;253,0192;173,6;79,4192;0,313886061;0;0,110594595
RX-00044;2025-02-01 00:00:00;2025;2;Feb;T1;Centro;Tunja;Cadena de Farmacias;Droguerías Audifarma;Retail;Dolor y cuidado primario;Ibuprofeno 400mg;Vitalis;caja;No;36;6,26;2,7;0,0748;3;26;0,0137;58;Baja;225,36;16,856928;208,503072;97,2;111,303072;0,533819818;0;0,123288462
RX-00045;2025-10-14 00:00:00;2025;10;Oct;T4;Norte;Barranquilla;Hospital;Hospital Universitario del Norte;Institucional;Oncología;Rituximab;Procaps;vial;Sí;1;955,23;731,2;0,0438;2;31;0,0073;1;Baja;955,23;41,839074;913,390926;731,2;182,190926;0,199466538;0;0,066870968
RX-00046;2025-01-15 00:00:00;2025;1;Jan;T1;Oriente;Bucaramanga;Clínica;Hospital Universitario de Santander;Institucional;Dolor y cuidado primario;Acetaminofén 500mg;Vitalis;caja;No;30;4,82;2,49;0,0839;3;50;0,0108;52;Baja;144,6;12,13194;132,46806;74,7;57,76806;0,436090481;0;0,06324
RX-00047;2025-09-18 00:00:00;2025;9;Sep;T3;Occidente;Bello;Clínica;Hospital Marco Fidel Suárez;Institucional;Dolor y cuidado primario;Acetaminofén 500mg;Vitalis;caja;No;44;4,64;2,44;0,0821;2;43;0,0052;66;Baja;204,16;16,761536;187,398464;107,36;80,038464;0,427103095;0;0,04772093
RX-00048;2025-10-14 00:00:00;2025;10;Oct;T4;Sur;Cali;Distribuidor;Coopidrogas;Mayorista;Antiinfecciosos;Oseltamivir 75mg;Procaps;caja;Sí;62;34,85;22,53;0,118;9;38;0,0055;52;Alta;2160,7;254,9626;1905,7374;1396,86;508,8774;0,267023883;0;0,243355263
RX-00049;2025-08-15 00:00:00;2025;8;Aug;T3;Centro;Tunja;Hospital;Hospital Universitario San Rafael de Tunja;Institucional;Respiratorio;Budesonida Nebulizable;Genfar;caja;Sí;16;15,11;9,03;0,0676;5;23;0,0145;14;Baja;241,76;16,342976;225,417024;144,48;80,937024;0,35905462;0;0,233152174
RX-00050;2025-03-04 00:00:00;2025;3;Mar;T1;Sur;Cali;Distribuidor;Disfarma;Mayorista;Cardiometabólico;Losartán 50mg;Sanofi;caja;Sí;36;9,23;4,72;0,1032;6;49;0,0116;33;Baja;332,28;34,291296;297,988704;169,92;128,068704;0,429777043;0;0,12955102
RX-00051;2025-08-28 00:00:00;2025;8;Aug;T3;Centro;Bogotá;Clínica;Fundación Santa Fe de Bogotá;Institucional;Cardiometabólico;Losartán 50mg;Sanofi;caja;Sí;22;9,07;4,95;0,1127;4;36;0,0065;19;Baja;199,54;22,488158;177,051842;108,9;68,151842;0,384925913;0;0,114722222
RX-00052;2025-03-24 00:00:00;2025;3;Mar;T1;Oriente;Villavicencio;Clínica;Clínica Meta;Institucional;Respiratorio;Budesonida Nebulizable;Genfar;caja;Sí;33;14,58;9,03;0,0969;3;39;0,0068;30;Baja;481,14;46,622466;434,517534;297,99;136,527534;0,31420489;0;0,079538462
RX-00053;2025-07-07 00:00:00;2025;7;Jul;T3;Norte;Cartagena;Clínica;Clínica General del Caribe;Institucional;Antiinfecciosos;Ceftriaxona 1g;Tecnoquímicas;frasco;Sí;4;18,52;11,64;0,0801;4;21;0,0042;4;Baja;74,08;5,933808;68,146192;46,56;21,586192;0,316762997;0;0,19447619
RX-00054;2025-09-20 00:00:00;2025;9;Sep;T3;Sur;Cali;Distribuidor;Coopidrogas;Mayorista;Salud digestiva;Probiótico 10B;Genfar;caja;No;45;15,22;9,41;0,1282;7;36;0,0088;58;Baja;684,9;87,80418;597,09582;423,45;173,64582;0,290817343;0;0,203
RX-00055;2025-02-13 00:00:00;2025;2;Feb;T1;Centro;Bogotá;Distribuidor;Disfarma;Mayorista;Respiratorio;Salbutamol Inhalador;Genfar;unidad;Sí;41;24;11,43;0,1263;5;41;0,0116;47;Baja;984;124,2792;859,7208;468,63;391,0908;0,454904429;0;0,12902439
RX-00056;2025-12-13 00:00:00;2025;12;Dec;T4;Oriente;Cúcuta;Clínica;Clínica Medical Duarte;Institucional;Dolor y cuidado primario;Ibuprofeno 400mg;Vitalis;caja;No;18;5,68;2,64;0,0816;5;26;0,0031;32;Baja;102,24;8,342784;93,897216;47,52;46,377216;0,493914708;0;0,195288462
RX-00057;2025-05-23 00:00:00;2025;5;May;T2;Norte;Cartagena;Hospital;Clínica General del Caribe;Institucional;Respiratorio;Salbutamol Inhalador;Genfar;unidad;Sí;14;23,02;11,92;0,0607;5;44;0,0005;13;Baja;322,28;19,562396;302,717604;166,88;135,837604;0,448727138;0;0,113920455
RX-00058;2025-11-21 00:00:00;2025;11;Nov;T4;Norte;Santa Marta;Hospital;Hospital Universitario Julio Méndez Barreneche;Institucional;Cardiometabólico;Atorvastatina 20mg;Procaps;caja;Sí;26;17,6;9,9;0,0817;4;33;0,0026;23;Baja;457,6;37,38592;420,21408;257,4;162,81408;0,38745508;0;0,122787879
RX-00059;2025-08-21 00:00:00;2025;8;Aug;T3;Norte;Cartagena;Clínica;Hospital Universitario del Caribe;Institucional;Vacunas;Vacuna Influenza;Laboratorios MK;dosis;Sí;6;26,12;15,41;0,078;10;23;0,0046;5;Baja;156,72;12,22416;144,49584;92,46;52,03584;0,360119987;0;0,444782609
RX-00060;2025-12-30 00:00:00;2025;12;Dec;T4;Centro;Bogotá;Distribuidor;Audifarma;Mayorista;Cardiometabólico;Losartán 50mg;Sanofi;caja;Sí;137;9,02;4,92;0,1315;6;39;0,0081;117;Baja;1235,74;162,49981;1073,24019;674,04;399,20019;0,371957921;1;0,160076923
RX-00061;2025-06-09 00:00:00;2025;6;Jun;T2;Occidente;Pereira;Cadena de Farmacias;Droguerías Colsubsidio;Retail;Antiinfecciosos;Azitromicina 500mg;Tecnoquímicas;caja;Sí;15;13,17;6,54;0,0479;3;16;0,009;13;Media;197,55;9,462645;188,087355;98,1;89,987355;0,478433837;0;0,1959375
RX-00062;2025-05-19 00:00:00;2025;5;May;T2;Centro;Bogotá;Distribuidor;Audifarma;Mayorista;Cardiometabólico;Losartán 50mg;Sanofi;caja;Sí;334;8,79;4,74;0,1124;7;49;0,0022;232;Baja;2935,86;329,990664;2605,869336;1583,16;1022,709336;0,392463782;1;0,144428571
RX-00063;2025-09-21 00:00:00;2025;9;Sep;T3;Occidente;Bello;Hospital;Hospital Marco Fidel Suárez;Institucional;Vacunas;Vacuna VPH;Laboratorios MK;dosis;Sí;12;116,95;79,52;0,0967;7;38;0,0074;10;Baja;1403,4;135,70878;1267,69122;954,24;313,45122;0,24726149;0;0,191026316
RX-00064;2025-09-17 00:00:00;2025;9;Sep;T3;Centro;Bogotá;Distribuidor;Audifarma;Mayorista;Respiratorio;Montelukast 10mg;Procaps;caja;Sí;88;14,83;6,64;0,1032;8;50;0,0053;81;Baja;1305,04;134,680128;1170,359872;584,32;586,039872;0,500734762;0;0,16424
RX-00065;2025-11-22 00:00:00;2025;11;Nov;T4;Norte;Santa Marta;Distribuidor;Audifarma;Mayorista;Cardiometabólico;Metformina 850mg;Vitalis;caja;Sí;22;7,24;3,59;0,134;8;38;0,011;20;Baja;159,28;21,34352;137,93648;78,98;58,95648;0,427417606;0;0,222105263
RX-00066;2025-08-09 00:00:00;2025;8;Aug;T3;Norte;Barranquilla;Cadena de Farmacias;Drogas La Rebaja;Retail;Salud digestiva;;Sanofi;frasco;No;11;12,19;6,62;0,0308;3;20;0,0144;13;Baja;134,09;4,129972;129,960028;72,82;57,140028;0,439673866;0;0,1608
RX-00067;2025-05-25 00:00:00;2025;5;May;T2;Occidente;Pereira;Clínica;Clínica Comfamiliar Risaralda;Institucional;Respiratorio;Budesonida Nebulizable;Genfar;caja;Sí;30;17,01;9,11;0,0717;7;45;0,0103;34;Baja;510,3;36,58851;473,71149;273,3;200,41149;0,423066559;0;0,163566667
RX-00068;2025-08-17 00:00:00;2025;8;Aug;T3;Norte;Santa Marta;Distribuidor;Coopidrogas;Mayorista;Respiratorio;Budesonida Nebulizable;Genfar;caja;Sí;37;15,28;8,65;0,1285;8;56;0,0069;33;Baja;565,36;72,64876;492,71124;320,05;172,66124;0,350430893;0;0,147785714
RX-00069;2025-04-22 00:00:00;2025;4;Apr;T2;Centro;Bogotá;Clínica;Hospital Universitario San Ignacio;Institucional;Antiinfecciosos;Azitromicina 500mg;Tecnoquímicas;caja;Sí;10;12,51;6,43;0,1027;7;43;0,011;10;Alta;125,1;12,84777;112,25223;64,3;47,95223;0,427182872;0;0,171744186
RX-00070;2025-05-08 00:00:00;2025;5;May;T2;Occidente;Medellín;Hospital;Hospital Universitario San Vicente Fundación;Institucional;Cardiometabólico;Atorvastatina 20mg;Procaps;caja;Sí;36;17,8;10,38;0,0659;6;28;0,0075;30;Baja;640,8;42,22872;598,57128;373,68;224,89128;0,375713449;0;0,222321429
RX-00071;2025-07-21 00:00:00;2025;7;Jul;T3;Norte;Santa Marta;Cadena de Farmacias;Cruz Verde;Retail;Vacunas;Vacuna VPH;Laboratorios MK;dosis;Sí;1;121,51;74,62;0,0584;5;18;0,0185;1;Baja;121,51;7,096184;114,413816;74,62;39,793816;0,347806038;0;0,303472222
RX-00072;2025-12-03 00:00:00;2025;12;Dec;T4;Sur;Neiva;Clínica;Clínica Medilaser Neiva;Institucional;Dolor y cuidado primario;Acetaminofén 500mg;Vitalis;caja;No;65;4,68;2,28;0,0774;7;29;0,0098;112;Baja;304,2;23,54508;280,65492;148,2;132,45492;0,471949396;1;0,253206897
RX-00073;2025-03-18 00:00:00;2025;3;Mar;T1;Centro;Tunja;Cadena de Farmacias;Droguerías Cafam;Retail;Dolor y cuidado primario;Omeprazol 20mg;Procaps;caja;No;12;7,64;3,96;0,0434;5;16;0,0105;16;Media;91,68;3,978912;87,701088;47,52;40,181088;0,458159516;0;0,32890625
RX-00074;2025-09-20 00:00:00;2025;9;Sep;T3;Occidente;Pereira;Cadena de Farmacias;Droguerías Audifarma;Retail;Salud digestiva;Lactulosa Jarabe;Sanofi;frasco;No;25;11,93;6,38;0,0394;3;42;0,0136;26;Baja;298,25;11,75105;286,49895;159,5;126,99895;0,443278937;0;0,076285714
RX-00075;2025-10-19 00:00:00;2025;10;Oct;T4;Sur;Cali;Distribuidor;Coopidrogas;Mayorista;Cardiometabólico;Atorvastatina 20mg;Procaps;caja;Sí;46;17,75;9,75;0,1172;9;26;0,0095;35;Baja;816,5;95,6938;720,8062;448,5;272,3062;0,377780047;0;0,362596154
RX-00076;2025-03-10 00:00:00;2025;3;Mar;T1;Occidente;Medellín;Clínica;Clínica Las Américas Auna;Institucional;Oncología;Rituximab;Procaps;vial;Sí;1;967,15;721,03;0,0955;5;26;0,002;1;Baja;967,15;92,362825;874,787175;721,03;153,757175;0,175765237;0;0,194230769
RX-00077;2025-01-10 00:00:00;2025;1;Jan;T1;Occidente;Pereira;Hospital;Clínica Comfamiliar Risaralda;Institucional;Cardiometabólico;Atorvastatina 20mg;Procaps;caja;Sí;14;17,07;9,98;0,0872;5;20;0,0089;10;Baja;238,98;20,839056;218,140944;139,72;78,420944;0,359496675;0;0,261125
RX-00078;2025-09-15 00:00:00;2025;9;Sep;T3;Sur;Cali;Cadena de Farmacias;Cruz Verde;Retail;Dolor y cuidado primario;Acetaminofén 500mg;Vitalis;caja;No;36;4,89;2,11;0,0393;4;33;0,0113;54;Baja;176,04;6,918372;169,121628;75,96;93,161628;0,55085579;0;0,128060606
RX-00079;2025-05-10 00:00:00;2025;5;May;T2;Oriente;Cúcuta;Hospital;Hospital Universitario Erasmo Meoz;Institucional;Respiratorio;Montelukast 10mg;Procaps;caja;Sí;11;13,25;7,29;0,0568;4;23;0,0086;12;Baja;145,75;8,2786;137,4714;80,19;57,2814;0,416678669;0;0,181391304
RX-00080;2025-08-24 00:00:00;2025;8;Aug;T3;Occidente;Bello;Hospital;Clínica del Norte;Institucional;Dolor y cuidado primario;Omeprazol 20mg;Procaps;caja;No;39;7,93;3,54;0,0951;6;30;0,0136;71;Baja;309,27;29,411577;279,858423;138,06;141,798423;0,506679133;1;0,2136
RX-00081;2025-11-20 00:00:00;2025;11;Nov;T4;Occidente;Medellín;Cadena de Farmacias;Droguerías Colsubsidio;Retail;Respiratorio;Montelukast 10mg;Procaps;caja;Sí;20;14,49;6,74;0,0607;3;10;0,0168;19;Media;289,8;17,59086;272,20914;134,8;137,40914;0,504792528;0;0,3252
